sms,label,llm1,llm2,llm3,llm4,llm5,llms_prediction,score
Ok lar... Joking wif u oni...,not spam,not spam,spam,not spam,spam,not spam,not spam,0.4
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam,spam,spam,spam,spam,spam,spam,1.0
"Nah I don't think he goes to usf, he lives around here though",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",spam,spam,spam,spam,spam,spam,spam,1.0
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,not spam,spam,spam,not spam,not spam,spam,spam,0.6
WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam,spam,spam,spam,spam,spam,spam,1.0
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam,spam,spam,spam,spam,spam,spam,1.0
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam,spam,spam,spam,spam,spam,spam,1.0
"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",spam,spam,spam,spam,spam,spam,spam,1.0
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",spam,spam,spam,spam,spam,spam,spam,1.0
Oh k...i'm watching here:),not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,not spam,not spam,spam,spam,not spam,not spam,not spam,0.4
Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,not spam,not spam,**spam**,not spam,not spam,not spam,not spam,0.0
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",spam,spam,spam,spam,spam,spam,spam,1.0
Is that seriously how you spell his name?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
IÛ÷m going to try for 2 months ha ha only joking,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
So Ì_ pay first lar... Then when is da stock comin...,not spam,spam,spam,spam,spam,not spam,spam,0.8
Ffffffffff. Alright no way I can meet up with you sooner?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
K tell me anything about you.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,spam,spam,spam,spam,spam,spam,spam,1.0
I see the letter B on my car,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Anything lor... U decide...,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,spam,spam,spam,spam,spam,spam,spam,1.0
WHO ARE YOU SEEING?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,not spam,not spam,spam,spam,spam,spam,spam,1.0
No calls..messages..missed calls,not spam,spam,not spam,not spam,not spam,not spam,not spam,0.2
"Fair enough, anything going on?",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
What you thinked about me. First time you saw me in class.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",not spam,spam,not spam,spam,spam,spam,spam,0.8
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam,spam,not spam,spam,not spam,spam,spam,0.6
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",spam,spam,spam,spam,spam,spam,spam,1.0
Tell where you reached,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Yes..gauti and sehwag out of odi series.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Its a part of checking IQ,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Sorry my roommates took forever, it ok if I come by now?",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,not spam,not spam,not spam,not spam,spam,not spam,not spam,0.2
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",spam,spam,spam,spam,spam,spam,spam,1.0
"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",not spam,spam,spam,spam,spam,spam,spam,1.0
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",spam,spam,spam,spam,spam,spam,spam,1.0
"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",spam,spam,spam,spam,spam,not spam,spam,0.8
Finished class where are you.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
U can call me now...,not spam,spam,not spam,not spam,not spam,not spam,not spam,0.2
Thats cool. i am a gentleman and will treat you with dignity and respect.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
